Ordinal,Type,Added,AST
0,MULTI,180,43
1,CONTROL,2,8
0,MULTI,2,0
3,VALUE,25,27
1,CONTROL,5,5
0,MULTI,18,18
0,MULTI,49,4
0,MULTI,4,30
3,VALUE,5,4
0,MULTI,3,5
3,VALUE,9,12
0,MULTI,4,6
0,MULTI,149,45
3,VALUE,2,24
2,VAR,186,227
3,VALUE,5,3
0,MULTI,16,8
0,MULTI,8,2
1,CONTROL,6,11
0,MULTI,4,2
2,VAR,36,116
0,MULTI,4,1
3,VALUE,18,14
0,MULTI,259,60
0,MULTI,3,0
2,VAR,8,9
1,CONTROL,1,3
3,VALUE,4,3
3,VALUE,7,27
3,VALUE,9,5
0,MULTI,5,4
0,MULTI,5,0
0,MULTI,13,4
1,CONTROL,23,35
0,MULTI,17,9
3,VALUE,4,2
1,CONTROL,48,68
1,CONTROL,42,15
2,VAR,7,31
0,MULTI,4,7
1,CONTROL,16,14
0,MULTI,12,4
0,MULTI,3,0
3,VALUE,2,0
0,MULTI,10,7
2,VAR,2,10
0,MULTI,99,151
3,VALUE,18,7
1,CONTROL,17,56
1,CONTROL,3,3
2,VAR,3,4
0,MULTI,39,16
0,MULTI,11,3
0,MULTI,35,22
2,VAR,7,17
3,VALUE,6,13
3,VALUE,15,16
2,VAR,4,4
1,CONTROL,119,5
3,VALUE,152,83
3,VALUE,2,12
3,VALUE,4,4
0,MULTI,7,2
2,VAR,7,60
2,VAR,9,18
0,MULTI,1,5
1,CONTROL,2,4
3,VALUE,7,5
1,CONTROL,9,1
0,MULTI,96,14
1,CONTROL,16,18
0,MULTI,31,8
0,MULTI,52,11
3,VALUE,9,5
0,MULTI,172,53
1,CONTROL,6,7
0,MULTI,4,2
0,MULTI,2,2
0,MULTI,5,4
3,VALUE,3,6
0,MULTI,367,169
3,VALUE,17,1
0,MULTI,27,11
3,VALUE,28,55
0,MULTI,35,22
1,CONTROL,4,9
2,VAR,214,61
1,CONTROL,1,6
3,VALUE,3,36
1,CONTROL,100,8
1,CONTROL,16,14
1,CONTROL,50,79
3,VALUE,332,171
3,VALUE,3,2
2,VAR,3,4
2,VAR,100,169
1,CONTROL,5,3
3,VALUE,6,8
2,VAR,65,74
0,MULTI,34,10
3,VALUE,26,2
0,MULTI,26,0
2,VAR,17,16
0,MULTI,1,1
3,VALUE,8,5
1,CONTROL,8,26
3,VALUE,2,3
3,VALUE,52,21
1,CONTROL,17,17
0,MULTI,4,4
3,VALUE,9,7
1,CONTROL,2,2
1,CONTROL,29,10
0,MULTI,4,1
3,VALUE,1,4
1,CONTROL,47,23
2,VAR,2,3
2,VAR,6,13
2,VAR,3,7
3,VALUE,8,0
0,MULTI,23,3
1,CONTROL,9,15
2,VAR,6,3
2,VAR,2,41
2,VAR,8,26
1,CONTROL,11,13
3,VALUE,41,45
3,VALUE,5,3
1,CONTROL,16,10
0,MULTI,48,2
0,MULTI,1,1
0,MULTI,43,15
0,MULTI,33,47
1,CONTROL,12,67
0,MULTI,348,8
3,VALUE,1,28
0,MULTI,41,14
0,MULTI,92,23
0,MULTI,10,2
3,VALUE,16,0
2,VAR,45,32
3,VALUE,10,2
1,CONTROL,3,9
3,VALUE,5,17
0,MULTI,10,3
1,CONTROL,15,24
0,MULTI,58,11
1,CONTROL,28,32
2,VAR,1,1
3,VALUE,2,0
