Ordinal,Type,Added,AST
0,MULTI,123,43
0,MULTI,2,0
3,VALUE,18,27
0,MULTI,10,18
1,CONTROL,1,32
0,MULTI,31,4
0,MULTI,3,40
0,MULTI,1,21
3,VALUE,3,4
3,VALUE,1,12
0,MULTI,1,6
0,MULTI,59,45
3,VALUE,2,7
0,MULTI,6,30
1,CONTROL,156,4
3,VALUE,1,16
2,VAR,3,47
3,VALUE,7,6
2,VAR,26,187
3,VALUE,5,3
0,MULTI,14,8
0,MULTI,6,2
3,VALUE,6,24
1,CONTROL,5,11
1,CONTROL,3,1
0,MULTI,4,2
0,MULTI,10,1
3,VALUE,23,0
0,MULTI,3,1
3,VALUE,14,14
1,CONTROL,136,26
0,MULTI,76,60
0,MULTI,3,0
3,VALUE,3,3
0,MULTI,37,21
3,VALUE,1,5
0,MULTI,11,0
3,VALUE,3,13
1,CONTROL,10,12
0,MULTI,5,0
2,VAR,4,52
0,MULTI,3,4
2,VAR,6,31
0,MULTI,4,2
3,VALUE,2,2
1,CONTROL,6,23
2,VAR,1,18
1,CONTROL,29,15
3,VALUE,7,5
1,CONTROL,9,14
0,MULTI,10,4
0,MULTI,2,0
3,VALUE,2,0
1,CONTROL,2,9
3,VALUE,6,2
0,MULTI,2,7
1,CONTROL,88,3
0,MULTI,16,89
3,VALUE,15,7
0,MULTI,4,0
2,VAR,4,18
0,MULTI,38,8
1,CONTROL,196,9
0,MULTI,134,24
0,MULTI,1,16
0,MULTI,1,3
3,VALUE,10,0
0,MULTI,22,6
2,VAR,2,1
0,MULTI,9,22
3,VALUE,2,16
0,MULTI,6,5
3,VALUE,1,5
2,VAR,2,4
3,VALUE,28,21
0,MULTI,5,9
1,CONTROL,116,5
3,VALUE,44,83
1,CONTROL,12,1
2,VAR,3,0
3,VALUE,237,87
3,VALUE,1,4
3,VALUE,4,0
0,MULTI,21,33
1,CONTROL,8,1
0,MULTI,36,14
0,MULTI,8,1
1,CONTROL,2,18
1,CONTROL,10,16
0,MULTI,33,11
3,VALUE,5,5
2,VAR,3,8
0,MULTI,9,33
1,CONTROL,6,1
0,MULTI,104,53
1,CONTROL,2,2
1,CONTROL,6,7
0,MULTI,2,2
0,MULTI,1,2
3,VALUE,2,6
0,MULTI,51,151
3,VALUE,16,1
0,MULTI,5,2
0,MULTI,1,35
0,MULTI,6,22
0,MULTI,97,3
0,MULTI,4,0
2,VAR,27,61
1,CONTROL,97,8
1,CONTROL,11,14
3,VALUE,4,0
3,VALUE,6,4
3,VALUE,10,8
3,VALUE,2,3
0,MULTI,8,2
1,CONTROL,7,79
3,VALUE,1,10
2,VAR,4,48
0,MULTI,2,2
3,VALUE,154,139
3,VALUE,1,2
2,VAR,2,2
1,CONTROL,9,0
0,MULTI,9,5
2,VAR,2,12
1,CONTROL,4,3
3,VALUE,2,8
3,VALUE,3,0
3,VALUE,11,21
2,VAR,8,74
0,MULTI,24,10
3,VALUE,24,2
0,MULTI,15,0
2,VAR,6,16
3,VALUE,2,5
1,CONTROL,6,26
3,VALUE,10,21
1,CONTROL,2,17
0,MULTI,4,4
3,VALUE,1,3
2,VAR,2,43
3,VALUE,5,7
0,MULTI,2,0
0,MULTI,3,18
1,CONTROL,23,10
2,VAR,2,35
0,MULTI,3,1
3,VALUE,9,96
0,MULTI,8,0
1,CONTROL,27,23
