Ordinal,Type,Added,AST
5,LINE,5,327
4,AST,3,327
5,LINE,31,47
4,AST,28,47
5,LINE,6,826
4,AST,6,826
5,LINE,2,5
5,LINE,2,90
4,AST,2,90
5,LINE,11,106
5,LINE,19,17
5,LINE,34,158
5,LINE,16,507
4,AST,25,507
5,LINE,8,1546
4,AST,8,1546
5,LINE,20,358
4,AST,12,358
5,LINE,21,3086
4,AST,13,3086
5,LINE,21,710
4,AST,15,710
5,LINE,1,636
4,AST,1,636
5,LINE,12,636
4,AST,8,636
5,LINE,2,241
5,LINE,1,5030
4,AST,3,5030
5,LINE,4,58
5,LINE,2,27
4,AST,2,27
5,LINE,4,511
4,AST,2,511
5,LINE,12,3162
5,LINE,4,76
4,AST,2,76
5,LINE,12,122
4,AST,7,122
5,LINE,2,420
4,AST,2,420
5,LINE,46,366
4,AST,34,366
5,LINE,1,703
5,LINE,6,553
4,AST,6,553
5,LINE,12,49
4,AST,10,49
5,LINE,41,236
5,LINE,4,120
4,AST,4,120
5,LINE,8,358
4,AST,6,358
5,LINE,2,5
4,AST,2,5
5,LINE,92,942
4,AST,52,942
5,LINE,1,322
4,AST,1,322
5,LINE,13,330
4,AST,9,330
5,LINE,23,170
4,AST,18,170
5,LINE,6,392
4,AST,4,392
5,LINE,8,76
4,AST,5,76
5,LINE,6,171
5,LINE,2,670
4,AST,2,670
5,LINE,15,659
4,AST,8,659
5,LINE,67,153
5,LINE,2,277
5,LINE,8,338
4,AST,7,338
5,LINE,20,678
4,AST,8,678
5,LINE,44,240
4,AST,18,240
5,LINE,26,474
4,AST,11,474
5,LINE,40,1243
4,AST,27,1243
5,LINE,15,231
4,AST,5,231
5,LINE,6,18
4,AST,5,18
5,LINE,111,350
4,AST,26,350
5,LINE,46,187
5,LINE,6,516
4,AST,4,516
5,LINE,4,1624
4,AST,1,1624
5,LINE,10,549
4,AST,8,549
5,LINE,10,99
4,AST,7,99
5,LINE,5,395
4,AST,4,395
5,LINE,5,132
5,LINE,12,717
4,AST,8,717
5,LINE,1,139
5,LINE,4,1461
4,AST,3,1461
5,LINE,2,431
4,AST,1,431
5,LINE,23,137
4,AST,12,137
5,LINE,2,379
5,LINE,3,752
4,AST,1,752
5,LINE,1,70
4,AST,1,70
5,LINE,3,450
4,AST,6,450
5,LINE,10,139
5,LINE,3,48
4,AST,1,48
5,LINE,80,168
4,AST,54,168
5,LINE,12,203
4,AST,8,203
5,LINE,10,1672
4,AST,6,1672
5,LINE,8,356
5,LINE,21,1238
4,AST,7,1238
5,LINE,27,80
4,AST,26,80
5,LINE,4,297
5,LINE,8,483
4,AST,3,483
5,LINE,22,343
5,LINE,5,1410
4,AST,3,1410
5,LINE,2,1296
4,AST,2,1296
5,LINE,50,4370
4,AST,28,4370
5,LINE,17,210
4,AST,9,210
5,LINE,2,44
5,LINE,2,447
4,AST,2,447
5,LINE,12,233
4,AST,34,233
5,LINE,11,62
5,LINE,10,246
4,AST,18,246
5,LINE,4,53
5,LINE,12,21
5,LINE,8,620
4,AST,1,620
5,LINE,11,130
4,AST,10,130
5,LINE,8,169
4,AST,2,169
5,LINE,11,61
5,LINE,15,3830
4,AST,7,3830
5,LINE,57,130
4,AST,26,130
5,LINE,9,97
4,AST,9,97
5,LINE,6,108
5,LINE,4,179
4,AST,4,179
5,LINE,32,110
4,AST,21,110
5,LINE,2,358
5,LINE,2,2386
4,AST,2,2386
5,LINE,9,218
5,LINE,7,933
4,AST,3,933
5,LINE,13,297
5,LINE,22,48
4,AST,16,48
5,LINE,28,489
4,AST,1,489
5,LINE,39,426
4,AST,28,426
5,LINE,27,7362
4,AST,1,7362
5,LINE,28,333
4,AST,16,333
5,LINE,10,134
4,AST,5,134
5,LINE,2,92
5,LINE,24,343
5,LINE,2,87
4,AST,2,87
5,LINE,1,57
5,LINE,11,346
5,LINE,5,47
5,LINE,17,112
4,AST,3,112
5,LINE,53,253
4,AST,86,253
5,LINE,24,721
4,AST,17,721
5,LINE,1,140
4,AST,1,140
5,LINE,2,3
5,LINE,2,150
4,AST,2,150
5,LINE,9,557
4,AST,1,557
5,LINE,17,998
4,AST,2,998
5,LINE,4,225
5,LINE,2,1049
4,AST,2,1049
5,LINE,6,437
4,AST,5,437
5,LINE,2,56
5,LINE,20,1216
4,AST,19,1216
5,LINE,22,359
5,LINE,2,94
4,AST,1,94
5,LINE,86,225
5,LINE,6,211
4,AST,6,211
5,LINE,2,27
5,LINE,17,353
5,LINE,16,3092
4,AST,11,3092
5,LINE,4,70
5,LINE,4,125
5,LINE,18,210
4,AST,10,210
5,LINE,4,36
4,AST,4,36
5,LINE,7,467
4,AST,6,467
5,LINE,69,1064
4,AST,32,1064
5,LINE,45,247
4,AST,19,247
5,LINE,19,1353
4,AST,15,1353
5,LINE,12,289
4,AST,3,289
5,LINE,2,31
5,LINE,3,245
5,LINE,8,768
4,AST,3,768
5,LINE,34,407
4,AST,8,407
5,LINE,6,81
5,LINE,1,105
5,LINE,9,774
4,AST,1,774
5,LINE,18,319
4,AST,12,319
5,LINE,2,381
4,AST,2,381
5,LINE,40,51
4,AST,32,51
5,LINE,17,335
5,LINE,117,354
4,AST,112,354
5,LINE,24,226
4,AST,20,226
5,LINE,4,121
