Ordinal,Type,Added,AST
5,LINE,5,3
4,AST,3,3
0,MULTI,1,3
1,CONTROL,1,3
5,LINE,31,28
4,AST,28,28
0,MULTI,54,28
1,CONTROL,23,28
2,VAR,10,28
3,VALUE,21,28
5,LINE,6,6
4,AST,6,6
5,LINE,2,0
5,LINE,2,2
4,AST,2,2
0,MULTI,1,2
3,VALUE,1,2
5,LINE,11,0
5,LINE,19,0
5,LINE,34,0
5,LINE,16,25
4,AST,25,25
5,LINE,8,8
4,AST,8,8
5,LINE,20,12
4,AST,12,12
5,LINE,21,13
4,AST,13,13
0,MULTI,94,13
1,CONTROL,23,13
2,VAR,27,13
3,VALUE,44,13
5,LINE,21,15
4,AST,15,15
0,MULTI,12,15
1,CONTROL,1,15
2,VAR,5,15
3,VALUE,6,15
5,LINE,1,1
4,AST,1,1
0,MULTI,3,1
1,CONTROL,3,1
5,LINE,12,8
4,AST,8,8
0,MULTI,14,8
1,CONTROL,4,8
2,VAR,4,8
3,VALUE,6,8
5,LINE,2,0
5,LINE,1,3
4,AST,3,3
5,LINE,4,0
5,LINE,2,2
4,AST,2,2
0,MULTI,2,2
3,VALUE,2,2
5,LINE,4,2
4,AST,2,2
5,LINE,12,0
0,MULTI,4,0
2,VAR,2,0
3,VALUE,2,0
5,LINE,4,2
4,AST,2,2
0,MULTI,4,2
2,VAR,2,2
3,VALUE,2,2
5,LINE,12,7
4,AST,7,7
5,LINE,2,2
4,AST,2,2
5,LINE,46,34
4,AST,34,34
0,MULTI,110,34
1,CONTROL,45,34
2,VAR,36,34
3,VALUE,29,34
5,LINE,1,0
5,LINE,6,6
4,AST,6,6
5,LINE,12,10
4,AST,10,10
0,MULTI,4,10
1,CONTROL,4,10
5,LINE,41,0
5,LINE,4,4
4,AST,4,4
5,LINE,8,6
4,AST,6,6
0,MULTI,21,6
1,CONTROL,6,6
2,VAR,7,6
3,VALUE,8,6
5,LINE,2,2
4,AST,2,2
0,MULTI,2,2
3,VALUE,2,2
5,LINE,92,52
4,AST,52,52
5,LINE,1,1
4,AST,1,1
5,LINE,13,9
4,AST,9,9
0,MULTI,32,9
1,CONTROL,14,9
2,VAR,7,9
3,VALUE,11,9
5,LINE,23,18
4,AST,18,18
0,MULTI,68,18
1,CONTROL,40,18
2,VAR,2,18
3,VALUE,26,18
5,LINE,6,4
4,AST,4,4
5,LINE,8,5
4,AST,5,5
0,MULTI,13,5
1,CONTROL,6,5
2,VAR,3,5
3,VALUE,4,5
5,LINE,6,0
0,MULTI,8,0
3,VALUE,8,0
5,LINE,2,2
4,AST,2,2
5,LINE,15,8
4,AST,8,8
5,LINE,67,0
5,LINE,2,0
5,LINE,8,7
4,AST,7,7
0,MULTI,2,7
2,VAR,1,7
3,VALUE,1,7
5,LINE,20,8
4,AST,8,8
0,MULTI,28,8
1,CONTROL,8,8
2,VAR,10,8
3,VALUE,10,8
5,LINE,44,18
4,AST,18,18
5,LINE,26,11
4,AST,11,11
0,MULTI,37,11
1,CONTROL,4,11
2,VAR,16,11
3,VALUE,17,11
5,LINE,40,27
4,AST,27,27
5,LINE,15,5
4,AST,5,5
5,LINE,6,5
4,AST,5,5
0,MULTI,11,5
2,VAR,5,5
3,VALUE,6,5
5,LINE,111,26
4,AST,26,26
0,MULTI,179,26
1,CONTROL,72,26
2,VAR,48,26
3,VALUE,59,26
5,LINE,46,0
5,LINE,6,4
4,AST,4,4
0,MULTI,13,4
1,CONTROL,4,4
2,VAR,4,4
3,VALUE,5,4
5,LINE,4,1
4,AST,1,1
5,LINE,10,8
4,AST,8,8
5,LINE,10,7
4,AST,7,7
0,MULTI,11,7
3,VALUE,11,7
5,LINE,5,4
4,AST,4,4
0,MULTI,3,4
2,VAR,2,4
3,VALUE,1,4
5,LINE,5,0
5,LINE,12,8
4,AST,8,8
5,LINE,1,0
5,LINE,4,3
4,AST,3,3
5,LINE,2,1
4,AST,1,1
5,LINE,23,12
4,AST,12,12
0,MULTI,20,12
1,CONTROL,12,12
2,VAR,3,12
3,VALUE,5,12
5,LINE,2,0
5,LINE,3,1
4,AST,1,1
5,LINE,1,1
4,AST,1,1
0,MULTI,1,1
1,CONTROL,1,1
5,LINE,3,6
4,AST,6,6
5,LINE,10,0
5,LINE,3,1
4,AST,1,1
0,MULTI,7,1
2,VAR,3,1
3,VALUE,4,1
5,LINE,80,54
4,AST,54,54
5,LINE,12,8
4,AST,8,8
5,LINE,10,6
4,AST,6,6
5,LINE,8,0
5,LINE,21,7
4,AST,7,7
5,LINE,27,26
4,AST,26,26
5,LINE,4,0
5,LINE,8,3
4,AST,3,3
0,MULTI,13,3
1,CONTROL,4,3
2,VAR,5,3
3,VALUE,4,3
5,LINE,22,0
5,LINE,5,3
4,AST,3,3
0,MULTI,5,3
1,CONTROL,3,3
3,VALUE,2,3
5,LINE,2,2
4,AST,2,2
5,LINE,50,28
4,AST,28,28
5,LINE,17,9
4,AST,9,9
5,LINE,2,0
5,LINE,2,2
4,AST,2,2
0,MULTI,4,2
3,VALUE,4,2
5,LINE,12,34
4,AST,34,34
0,MULTI,126,34
1,CONTROL,25,34
2,VAR,31,34
3,VALUE,70,34
5,LINE,11,0
5,LINE,10,18
4,AST,18,18
5,LINE,4,0
5,LINE,12,0
5,LINE,8,1
4,AST,1,1
5,LINE,11,10
4,AST,10,10
0,MULTI,16,10
1,CONTROL,4,10
2,VAR,5,10
3,VALUE,7,10
5,LINE,8,2
4,AST,2,2
0,MULTI,1,2
1,CONTROL,1,2
5,LINE,11,0
5,LINE,15,7
4,AST,7,7
5,LINE,57,26
4,AST,26,26
0,MULTI,48,26
1,CONTROL,7,26
2,VAR,21,26
3,VALUE,20,26
5,LINE,9,9
4,AST,9,9
0,MULTI,44,9
1,CONTROL,34,9
2,VAR,5,9
3,VALUE,5,9
5,LINE,6,0
5,LINE,4,4
4,AST,4,4
0,MULTI,8,4
3,VALUE,8,4
5,LINE,32,21
4,AST,21,21
0,MULTI,75,21
1,CONTROL,21,21
2,VAR,26,21
3,VALUE,28,21
5,LINE,2,0
5,LINE,2,2
4,AST,2,2
0,MULTI,2,2
3,VALUE,2,2
5,LINE,9,0
0,MULTI,2,0
3,VALUE,2,0
5,LINE,7,3
4,AST,3,3
5,LINE,13,0
5,LINE,22,16
4,AST,16,16
0,MULTI,27,16
1,CONTROL,5,16
2,VAR,11,16
3,VALUE,11,16
5,LINE,28,1
4,AST,1,1
0,MULTI,4,1
3,VALUE,4,1
5,LINE,39,28
4,AST,28,28
0,MULTI,19,28
3,VALUE,19,28
5,LINE,27,1
4,AST,1,1
0,MULTI,4,1
2,VAR,2,1
3,VALUE,2,1
5,LINE,28,16
4,AST,16,16
