Ordinal,Type,Added,AST
0,MULTI,6,28
1,CONTROL,1,28
2,VAR,4,28
3,VALUE,6,28
0,MULTI,11,13
1,CONTROL,11,13
3,VALUE,9,13
0,MULTI,2,15
2,VAR,1,15
3,VALUE,2,15
0,MULTI,2,1
1,CONTROL,2,1
0,MULTI,2,0
2,VAR,2,0
3,VALUE,2,0
0,MULTI,13,34
1,CONTROL,13,34
0,MULTI,1,6
3,VALUE,1,6
0,MULTI,5,9
1,CONTROL,5,9
3,VALUE,4,9
0,MULTI,49,18
1,CONTROL,32,18
2,VAR,1,18
3,VALUE,17,18
0,MULTI,6,5
1,CONTROL,6,5
0,MULTI,8,0
3,VALUE,8,0
0,MULTI,9,11
2,VAR,8,11
3,VALUE,9,11
0,MULTI,50,26
1,CONTROL,46,26
2,VAR,4,26
3,VALUE,12,26
0,MULTI,1,4
3,VALUE,1,4
0,MULTI,8,7
3,VALUE,8,7
0,MULTI,1,4
2,VAR,1,4
0,MULTI,3,12
2,VAR,1,12
3,VALUE,3,12
0,MULTI,6,1
2,VAR,2,1
3,VALUE,4,1
0,MULTI,6,3
1,CONTROL,3,3
2,VAR,3,3
3,VALUE,3,3
0,MULTI,2,2
3,VALUE,2,2
0,MULTI,34,34
3,VALUE,34,34
0,MULTI,2,10
3,VALUE,2,10
0,MULTI,8,26
2,VAR,7,26
3,VALUE,7,26
0,MULTI,28,9
1,CONTROL,27,9
2,VAR,1,9
3,VALUE,1,9
0,MULTI,4,4
3,VALUE,4,4
0,MULTI,9,21
2,VAR,9,21
3,VALUE,9,21
0,MULTI,1,2
3,VALUE,1,2
0,MULTI,2,0
3,VALUE,2,0
0,MULTI,1,16
2,VAR,1,16
3,VALUE,1,16
0,MULTI,3,1
3,VALUE,3,1
0,MULTI,16,28
3,VALUE,16,28
0,MULTI,2,1
2,VAR,2,1
3,VALUE,2,1
0,MULTI,2,3
3,VALUE,2,3
0,MULTI,2,86
2,VAR,1,86
3,VALUE,2,86
0,MULTI,1,2
2,VAR,1,2
3,VALUE,1,2
0,MULTI,6,4
3,VALUE,6,4
0,MULTI,2,32
2,VAR,2,32
3,VALUE,2,32
0,MULTI,6,3
2,VAR,1,3
3,VALUE,6,3
0,MULTI,13,3
3,VALUE,13,3
0,MULTI,6,6
1,CONTROL,6,6
0,MULTI,30,13
1,CONTROL,26,13
2,VAR,4,13
3,VALUE,9,13
0,MULTI,3,4
2,VAR,2,4
3,VALUE,3,4
0,MULTI,4,2
3,VALUE,4,2
0,MULTI,10,119
2,VAR,5,119
3,VALUE,10,119
0,MULTI,1,27
2,VAR,1,27
3,VALUE,1,27
0,MULTI,8,4
3,VALUE,8,4
0,MULTI,6,38
2,VAR,6,38
3,VALUE,6,38
0,MULTI,5,0
3,VALUE,5,0
0,MULTI,15,3
1,CONTROL,13,3
3,VALUE,2,3
0,MULTI,2,16
3,VALUE,2,16
0,MULTI,5,2
2,VAR,5,2
3,VALUE,3,2
0,MULTI,2,4
3,VALUE,2,4
0,MULTI,8,2
3,VALUE,8,2
0,MULTI,7,10
1,CONTROL,7,10
0,MULTI,8,10
1,CONTROL,8,10
0,MULTI,4,8
2,VAR,3,8
3,VALUE,2,8
0,MULTI,2,0
3,VALUE,2,0
0,MULTI,1,7
3,VALUE,1,7
0,MULTI,4,12
2,VAR,1,12
3,VALUE,4,12
0,MULTI,6,68
2,VAR,4,68
3,VALUE,6,68
0,MULTI,27,12
3,VALUE,27,12
0,MULTI,15,12
1,CONTROL,14,12
3,VALUE,1,12
0,MULTI,1,1
2,VAR,1,1
3,VALUE,1,1
0,MULTI,2,2
3,VALUE,2,2
0,MULTI,1,24
2,VAR,1,24
3,VALUE,1,24
0,MULTI,4,7
2,VAR,4,7
3,VALUE,2,7
0,MULTI,12,7
1,CONTROL,6,7
2,VAR,2,7
3,VALUE,10,7
0,MULTI,8,6
1,CONTROL,5,6
2,VAR,1,6
3,VALUE,5,6
0,MULTI,39,25
3,VALUE,39,25
0,MULTI,11,33
1,CONTROL,4,33
2,VAR,7,33
3,VALUE,6,33
0,MULTI,12,4
1,CONTROL,12,4
3,VALUE,7,4
0,MULTI,1,4
2,VAR,1,4
3,VALUE,1,4
0,MULTI,2,4
3,VALUE,2,4
0,MULTI,18,2
1,CONTROL,18,2
0,MULTI,1,6
2,VAR,1,6
3,VALUE,1,6
0,MULTI,6,6
2,VAR,6,6
3,VALUE,6,6
0,MULTI,20,0
3,VALUE,20,0
0,MULTI,6,6
3,VALUE,6,6
0,MULTI,15,4
1,CONTROL,15,4
0,MULTI,2,5
3,VALUE,2,5
0,MULTI,1,4
2,VAR,1,4
3,VALUE,1,4
0,MULTI,2,0
3,VALUE,2,0
0,MULTI,5,10
1,CONTROL,5,10
3,VALUE,3,10
0,MULTI,4,3
3,VALUE,4,3
0,MULTI,2,65
2,VAR,2,65
3,VALUE,2,65
0,MULTI,6,31
1,CONTROL,4,31
3,VALUE,2,31
0,MULTI,2,21
3,VALUE,2,21
0,MULTI,10,9
1,CONTROL,2,9
2,VAR,5,9
3,VALUE,9,9
0,MULTI,1,4
3,VALUE,1,4
0,MULTI,30,22
2,VAR,14,22
3,VALUE,30,22
0,MULTI,1,3
3,VALUE,1,3
0,MULTI,4,26
2,VAR,4,26
3,VALUE,1,26
0,MULTI,30,7
2,VAR,20,7
3,VALUE,20,7
0,MULTI,7,6
1,CONTROL,6,6
2,VAR,1,6
3,VALUE,1,6
0,MULTI,7,2
3,VALUE,7,2
0,MULTI,11,1
1,CONTROL,7,1
3,VALUE,6,1
0,MULTI,2,45
2,VAR,2,45
3,VALUE,2,45
0,MULTI,3,0
3,VALUE,3,0
0,MULTI,1,10
2,VAR,1,10
3,VALUE,1,10
0,MULTI,13,14
1,CONTROL,8,14
2,VAR,5,14
3,VALUE,11,14
0,MULTI,1,26
2,VAR,1,26
3,VALUE,1,26
0,MULTI,6,9
2,VAR,1,9
3,VALUE,6,9
0,MULTI,1,48
2,VAR,1,48
3,VALUE,1,48
0,MULTI,2,33
2,VAR,2,33
3,VALUE,2,33
0,MULTI,30,7
2,VAR,20,7
3,VALUE,20,7
0,MULTI,40,4
1,CONTROL,40,4
0,MULTI,1,2
3,VALUE,1,2
0,MULTI,26,6
3,VALUE,26,6
0,MULTI,3,1
2,VAR,3,1
3,VALUE,3,1
0,MULTI,2,5
1,CONTROL,2,5
0,MULTI,4,0
3,VALUE,4,0
0,MULTI,8,30
1,CONTROL,4,30
3,VALUE,6,30
0,MULTI,7,6
1,CONTROL,5,6
2,VAR,2,6
0,MULTI,1,41
3,VALUE,1,41
0,MULTI,12,3
1,CONTROL,11,3
3,VALUE,4,3
0,MULTI,4,2
3,VALUE,4,2
0,MULTI,10,3
3,VALUE,10,3
0,MULTI,2,8
2,VAR,1,8
3,VALUE,2,8
0,MULTI,4,0
3,VALUE,4,0
0,MULTI,1,9
3,VALUE,1,9
0,MULTI,10,22
1,CONTROL,1,22
3,VALUE,10,22
0,MULTI,1,6
2,VAR,1,6
3,VALUE,1,6
0,MULTI,8,12
3,VALUE,8,12
0,MULTI,4,0
3,VALUE,4,0
0,MULTI,1,10
2,VAR,1,10
3,VALUE,1,10
0,MULTI,2,10
2,VAR,1,10
3,VALUE,2,10
0,MULTI,223,62
1,CONTROL,206,62
2,VAR,19,62
3,VALUE,27,62
0,MULTI,1,5
3,VALUE,1,5
0,MULTI,2,6
2,VAR,2,6
3,VALUE,2,6
0,MULTI,23,14
1,CONTROL,22,14
3,VALUE,1,14
0,MULTI,6,103
2,VAR,6,103
3,VALUE,6,103
0,MULTI,1,2
3,VALUE,1,2
0,MULTI,126,2
1,CONTROL,126,2
0,MULTI,4,26
1,CONTROL,4,26
3,VALUE,2,26
0,MULTI,1,2
2,VAR,1,2
3,VALUE,1,2
0,MULTI,16,2
1,CONTROL,16,2
0,MULTI,2,0
3,VALUE,2,0
0,MULTI,2,2
3,VALUE,2,2
0,MULTI,7,26
2,VAR,6,26
3,VALUE,7,26
0,MULTI,10,2
1,CONTROL,10,2
0,MULTI,1,4
3,VALUE,1,4
0,MULTI,46,6
1,CONTROL,34,6
2,VAR,20,6
3,VALUE,1,6
0,MULTI,2,20
2,VAR,2,20
0,MULTI,1,7
3,VALUE,1,7
0,MULTI,3,0
3,VALUE,3,0
0,MULTI,6,0
3,VALUE,6,0
0,MULTI,1,11
1,CONTROL,1,11
0,MULTI,2,6
1,CONTROL,2,6
3,VALUE,2,6
0,MULTI,8,7
1,CONTROL,2,7
3,VALUE,6,7
0,MULTI,1,4
2,VAR,1,4
3,VALUE,1,4
0,MULTI,30,6
2,VAR,1,6
3,VALUE,30,6
0,MULTI,6,0
3,VALUE,6,0
0,MULTI,20,25
2,VAR,20,25
3,VALUE,20,25
0,MULTI,2,4
3,VALUE,2,4
0,MULTI,4,11
1,CONTROL,2,11
